Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
A6-3500,Llano,3.0,2.1,Socket FM1,32.0,,65.0,2011-08-17
Athlon II X3 400e,Rana,3.0,2.2,Socket AM3,45.0,,45.0,2009-10-20
Athlon II X3 405e,Rana,3.0,2.3,Socket AM3,45.0,,45.0,2009-10-20
Athlon II X3 415e,Rana,3.0,2.5,Socket AM3,45.0,,45.0,2010-05-11
Athlon II X3 420e,Rana,3.0,2.6,Socket AM3,45.0,,45.0,
Athlon II X3 425,Rana,3.0,2.7,Socket AM3,45.0,,95.0,2009-10-20
Athlon II X3 425e,Rana,3.0,2.7,Socket AM3,45.0,,45.0,
Athlon II X3 435,Rana,3.0,2.9,Socket AM3,45.0,,95.0,2009-10-09
Athlon II X3 440,Rana,3.0,3.0,Socket AM3,45.0,,95.0,2010-01-25
Athlon II X3 445,Rana,3.0,3.1,Socket AM3,45.0,,95.0,2010-05-11
Athlon II X3 450,Rana,3.0,3.2,Socket AM3,45.0,,95.0,
Athlon II X3 455,Rana,3.0,3.3,Socket AM3,45.0,,95.0,2010-12-07
Athlon II X3 460,Rana,3.0,3.4,Socket AM3,45.0,,95.0,
Phenom II X3 700e,Heka,3.0,2.4,Socket AM3,45.0,6MB,65.0,
Phenom II X3 705e,Heka,3.0,2.5,Socket AM3,45.0,6MB,65.0,
Phenom II X3 710,Heka,3.0,2.6,Socket AM3,45.0,6MB,95.0,2009-02-09
Phenom II X3 715 BE,Heka,3.0,2.8,Socket AM2+,45.0,6MB,95.0,
Phenom II X3 720,Heka,3.0,2.8,Socket AM3,45.0,6MB,95.0,
Phenom II X3 720 BE,Heka,3.0,2.8,Socket AM3,45.0,6MB,95.0,2009-02-09
Phenom II X3 740 BE,Heka,3.0,3.0,Socket AM3,45.0,6MB,95.0,
Phenom II X3 B73,Heka,3.0,2.8,Socket AM3,45.0,6MB,95.0,
Phenom II X3 B75,Heka,3.0,3.0,Socket AM3,45.0,6MB,95.0,
Phenom II X3 B77,Heka,3.0,3.2,Socket AM3,45.0,6MB,95.0,2010-05-11
Phenom X3 8250e,Toliman,3.0,1900.0,Socket AM2+,65.0,2MB,65.0,2008-09-08
Phenom X3 8400,Toliman,3.0,2.1,Socket AM2+,65.0,2MB,95.0,2008-03-27
